model,params,checkpoint,training_steps,moves,score_p1,score_p2,n_rounds,noise,family
EleutherAI/pythia-70M-deduped,70426624,step37000,37000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",31,35,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step37000,37000,"[('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",30,32,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step37000,37000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('F', 'J')]",23,17,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step39000,39000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step39000,39000,"[('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",30,34,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step39000,39000,"[('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J')]",19,27,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step39000,39000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F')]",29,33,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step39000,39000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",21,15,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J')]",33,35,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F')]",28,32,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F')]",30,32,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J')]",21,19,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step43000,43000,"[('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",10,10,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step43000,43000,"[('J', 'F'), ('J', 'F'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",31,29,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step43000,43000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",34,34,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step43000,43000,"[('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",25,28,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step43000,43000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J')]",18,14,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step45000,45000,"[('F', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",17,17,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step45000,45000,"[('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",38,34,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step45000,45000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",34,34,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step45000,45000,"[('F', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",34,34,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step45000,45000,"[('F', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",20,16,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('F', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",22,22,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",39,37,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",34,38,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",30,32,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",13,11,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step49000,49000,"[('F', 'F'), ('F', 'F'), ('J', 'F'), ('J', 'F'), ('J', 'F'), ('F', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('F', 'J')]",28,28,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step49000,49000,"[('F', 'F'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'F')]",23,25,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step49000,49000,"[('F', 'F'), ('F', 'J'), ('F', 'F'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F')]",15,19,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step49000,49000,"[('F', 'F'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'F'), ('J', 'J'), ('F', 'J'), ('F', 'F'), ('F', 'J')]",21,20,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step49000,49000,"[('J', 'F'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'F')]",31,21,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step51000,51000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",10,10,10,0.2,Win-win
